Team,GP,W,L,D,GF,GA,Dif,P,Season,Standing
Manchester United,38,28,5,5,86,43,43,89,2012-13,1
Manchester City,38,23,9,6,66,34,32,78,2012-13,2
Chelsea,38,22,9,7,75,39,36,75,2012-13,3
Arsenal,38,21,10,7,72,37,35,73,2012-13,4
Tottenham Hotspur,38,21,9,8,66,46,20,72,2012-13,5
Everton,38,16,15,7,55,40,15,63,2012-13,6
Liverpool,38,16,13,9,71,43,28,61,2012-13,7
Stoke City,38,17,8,16,53,57,-4,59,2012-13,8
Swansea City,38,11,13,14,47,51,-4,46,2012-13,9
West Ham United,38,12,10,16,45,53,-8,46,2012-13,10
Norwich City,38,10,14,14,41,58,-17,44,2012-13,11
Fulham,38,11,10,17,50,60,-10,43,2012-13,12
West Bromwich Albion,38,9,15,14,34,45,-11,42,2012-13,13
Southampton,38,9,14,15,49,60,-11,41,2012-13,14
Aston Villa,38,10,11,17,47,69,-22,41,2012-13,15
Newcastle United,38,11,8,19,45,68,-23,41,2012-13,16
Sunderland,38,9,12,17,41,54,-13,39,2012-13,17
Wigan Athletic,38,9,9,20,46,73,-27,36,2012-13,18
Reading,38,6,10,22,43,73,-30,28,2012-13,19
Queens Park Rangers,38,4,13,21,30,60,-30,25,2012-13,20
