Team,GP,W,L,D,GF,GA,Dif,P,Season,Standing
Chelsea,38,27,5,6,103,32,71,86,2009-10,1
Manchester United,38,27,4,7,86,28,58,85,2009-10,2
Arsenal,38,23,6,9,83,41,42,75,2009-10,3
Tottenham Hotspur,38,21,7,10,67,41,26,70,2009-10,4
Manchester City,38,18,13,7,73,45,28,67,2009-10,5
Aston Villa,38,17,13,8,52,39,13,64,2009-10,6
Liverpool,38,18,9,11,61,35,26,63,2009-10,7
Everton,38,16,13,9,60,49,11,61,2009-10,8
Birmingham City,38,13,11,14,38,47,-9,50,2009-10,9
Blackburn Rovers,38,13,11,14,41,55,-14,50,2009-10,10
Stoke City,38,11,14,13,34,48,-14,47,2009-10,11
Fulham,38,12,10,16,39,46,-7,46,2009-10,12
Sunderland,38,11,11,16,48,56,-8,44,2009-10,13
Bolton Wanderers,38,10,9,19,42,67,-25,39,2009-10,14
Wolverhampton,38,9,11,18,32,56,-24,38,2009-10,15
Wigan Athletic,38,9,9,20,37,79,-42,36,2009-10,16
West Ham United,38,8,11,19,47,66,-19,35,2009-10,17
Burnley,38,8,6,24,42,82,-40,30,2009-10,18
Hull City,38,6,12,20,34,75,-41,30,2009-10,19
Portsmouth,38,7,7,24,34,66,-32,28,2009-10,20
