Team,GP,W,L,D,GF,GA,Dif,P,Season,Standing
Manchester City,38,32,2,4,95,23,72,98,2018-19,1
Liverpool,38,30,7,1,89,22,67,97,2018-19,2
Chelsea,38,21,9,8,63,39,24,72,2018-19,3
Tottenham Hotspur,38,23,2,13,67,39,28,71,2018-19,4
Arsenal,38,21,7,10,73,51,22,70,2018-19,5
Manchester United,38,19,9,10,65,54,11,66,2018-19,6
Wolverhampton Wanderers,38,16,9,13,47,46,1,57,2018-19,7
Everton,38,15,9,14,54,46,8,54,2018-19,8
Leicester City,38,15,7,16,51,48,3,52,2018-19,9
West Ham United,38,15,7,16,52,55,-3,52,2018-19,10
Watford,38,14,8,16,52,59,-7,50,2018-19,11
Crystal Palace,38,14,7,17,51,53,-2,49,2018-19,12
Newcastle United,38,12,9,17,42,48,-6,45,2018-19,13
Bournemouth,38,13,6,19,56,70,-14,45,2018-19,14
Burnley,38,11,7,20,45,68,-23,40,2018-19,15
Southampton,38,9,12,17,45,65,-20,39,2018-19,16
Brighton & Hove Albion,38,9,9,20,35,60,-25,36,2018-19,17
Cardiff City,38,10,4,24,34,69,-35,34,2018-19,18
Fulham,38,7,5,26,34,81,-47,26,2018-19,19
Huddersfield Town,38,3,7,28,22,76,-54,16,2018-19,20
