Team,GP,W,L,D,GF,GA,Dif,P,Season,Standing
Macnhester United,38,25,7,6,73,35,38,82,1995-96,1
Newcastle United,38,24,6,8,66,37,29,78,1995-96,2
Liverpool,38,20,11,7,70,34,36,71,1995-96,3
Aston Villa,38,18,9,11,52,35,17,63,1995-96,4
Arsenal,38,17,12,9,49,32,17,63,1995-96,5
Everton,38,17,10,11,64,44,20,61,1995-96,6
Blackburn Rovers,38,18,7,13,61,47,14,61,1995-96,7
Tottenham Hotspur,38,16,13,9,50,38,12,61,1995-96,8
Nottingham Forest,38,15,13,10,50,54,-4,58,1995-96,9
West Ham United,38,14,9,15,43,52,-9,51,1995-96,10
Chelsea,38,12,14,12,46,44,2,50,1995-96,11
Middlesbrough,38,11,10,17,35,50,-15,43,1995-96,12
Leeds United,38,12,7,19,40,57,-17,43,1995-96,13
Wimbledon,38,10,11,17,55,70,-15,41,1995-96,14
Sheffield Wednesday,38,10,10,18,48,61,-13,40,1995-96,15
Coventry City,38,8,14,16,42,60,-18,38,1995-96,16
Southampton,38,9,11,18,34,52,-18,38,1995-96,17
Manchester City,38,9,11,18,33,58,-25,38,1995-96,18
Queens Park Rangers,38,9,6,23,38,57,-19,33,1995-96,19
Bolton Wanderers,38,8,5,25,39,71,-32,29,1995-96,20
