Team,GP,W,L,D,GF,GA,Dif,P,Season,Standing
Leicester City,38,23,12,3,68,36,32,81,2015-16,1
Arsenal,38,20,11,7,65,36,29,71,2015-16,2
Tottenham Hotspur,38,19,13,6,69,35,34,70,2015-16,3
Manchester City,38,19,9,10,71,41,30,66,2015-16,4
Manchester United,38,19,9,10,49,35,14,66,2015-16,5
Southampton,38,18,9,11,59,41,18,63,2015-16,6
West Ham United,38,16,14,8,65,51,14,62,2015-16,7
Liverpool,38,16,12,10,63,50,13,60,2015-16,8
Stoke City,38,14,9,15,41,55,-14,51,2015-16,9
Chelsea,38,12,14,12,59,53,6,50,2015-16,10
Everton,38,11,14,13,59,55,4,47,2015-16,11
Swansea City,38,12,11,15,42,52,-10,47,2015-16,12
Watford,38,12,9,17,40,50,-10,45,2015-16,13
West Bromwich Albion,38,10,13,15,34,48,-14,43,2015-16,14
Crystal Palace,38,11,9,18,39,51,-12,42,2015-16,15
Bournemouth,38,11,9,18,45,67,-22,42,2015-16,16
Sunderland,38,9,12,17,48,62,-14,39,2015-16,17
Newcastle United,38,9,10,19,44,65,-21,37,2015-16,18
Norwich City,38,9,7,22,39,67,-28,34,2015-16,19
Aston Villa,38,3,8,27,27,76,-49,17,2015-16,20
