Team,GP,W,L,D,GF,GA,Dif,P,Season,Standing
Manchester City,38,27,5,6,102,37,65,86,2013-14,1
Liverpool,38,26,6,6,102,50,52,84,2013-14,2
Chelsea,38,25,7,6,71,28,43,82,2013-14,3
Arsenal,38,24,7,7,68,41,27,79,2013-14,4
Everton,38,21,9,8,61,39,22,72,2013-14,5
Tottenham Hotspur,38,21,6,11,55,51,4,69,2013-14,6
Manchester United,38,19,7,12,64,43,21,64,2013-14,7
Southampton,38,15,11,12,54,46,8,56,2013-14,8
Stoke City,38,13,11,14,45,52,-7,50,2013-14,9
Newcastle United,38,15,4,19,43,59,-16,49,2013-14,10
Crystal Palace,38,13,6,19,33,48,-15,45,2013-14,11
Swansea City,38,11,9,18,54,54,0,42,2013-14,12
West Ham United,38,11,7,20,40,51,-11,40,2013-14,13
Sunderland,38,10,8,20,41,60,-19,38,2013-14,14
Aston Villa,38,10,8,20,39,61,-22,38,2013-14,15
Hull City,38,10,7,21,38,53,-15,37,2013-14,16
West Bromwich Albion,38,7,15,16,43,59,-16,36,2013-14,17
Norwich City,38,8,9,21,28,62,-34,33,2013-14,18
Fulham,38,9,5,24,40,85,-45,32,2013-14,19
Cardiff City,38,7,9,22,32,74,-42,30,2013-14,20
