Team,GP,W,L,D,GF,GA,Dif,P,Season,Standing
Manchester United,38,23,11,4,78,37,41,80,2010-11,1
Chelsea,38,21,8,9,69,33,36,71,2010-11,2
Manchester City,38,21,8,9,60,33,27,71,2010-11,3
Arsenal,38,19,11,8,72,43,29,68,2010-11,4
Tottenham Hotspur,38,16,14,8,55,46,9,62,2010-11,5
Liverpool,38,17,7,14,59,44,15,58,2010-11,6
Everton,38,13,15,10,51,45,6,54,2010-11,7
Fulham,38,11,16,11,49,43,6,49,2010-11,8
Aston Villa,38,12,12,14,48,59,-11,48,2010-11,9
Sunderland,38,12,11,15,45,56,-11,47,2010-11,10
West Bromwich Albion,38,12,11,15,56,71,-15,47,2010-11,11
Newcastle United,38,11,13,14,56,57,-1,46,2010-11,12
Stoke City,38,13,7,18,46,48,-2,46,2010-11,13
Bolton Wanderers,38,12,10,16,52,56,-4,46,2010-11,14
Blackburn Rovers,38,11,10,17,46,59,-13,43,2010-11,15
Wigan Athletic,38,9,15,14,40,61,-21,42,2010-11,16
Wolverhampton Wanderers,38,11,7,20,46,66,-20,40,2010-11,17
Birmingham City,38,8,15,15,37,58,-21,39,2010-11,18
Blackpool,38,10,9,19,55,78,-23,39,2010-11,19
West Ham United,38,7,12,19,43,70,-27,33,2010-11,20
