Team,GP,W,L,D,GF,GA,Dif,P,Season,Standing
Macnhester United,38,21,12,5,76,44,32,75,1996-97,1
Newcastle United,38,19,11,8,73,40,33,68,1996-97,2
Arsenal,38,19,11,8,62,32,30,68,1996-97,3
Liverpool,38,19,11,8,62,37,25,68,1996-97,4
Aston Villa,38,17,10,11,47,34,13,61,1996-97,5
Chelsea,38,16,11,11,58,55,3,59,1996-97,6
Sheffield Wednesday,38,14,15,9,50,51,-1,57,1996-97,7
Wimbledon,38,15,11,12,49,46,3,56,1996-97,8
Leicester City,38,12,11,15,46,54,-8,47,1996-97,9
Tottenham Hotspur,38,13,7,18,44,51,-7,46,1996-97,10
Leeds United,38,11,13,14,28,38,-10,46,1996-97,11
Derby County,38,11,13,14,45,58,-13,46,1996-97,12
Blackburn Rovers,38,9,15,14,42,43,-1,42,1996-97,13
West Ham United,38,10,12,16,39,48,-9,42,1996-97,14
Everton,38,10,12,16,44,57,-13,42,1996-97,15
Southampton,38,10,11,17,50,56,-6,41,1996-97,16
Coventry City,38,9,14,15,38,54,-16,41,1996-97,17
Sunderland,38,10,10,18,35,53,-18,40,1996-97,18
Middlesbrough,38,10,12,16,51,60,-9,42,1996-97,19
Nottingham Forest,38,6,16,16,31,59,-28,34,1996-97,20
