Team,GP,W,L,D,GF,GA,Dif,P,Season,Standing
Chelsea,38,26,9,3,73,32,41,87,2014-15,1
Manchester City,38,24,7,7,83,38,45,79,2014-15,2
Arsenal,38,22,9,7,71,36,35,75,2014-15,3
Manchester United,38,20,10,8,62,37,25,70,2014-15,4
Tottenham Hotspur,38,19,7,12,58,53,5,64,2014-15,5
Liverpool,38,18,8,12,52,48,4,62,2014-15,6
Southampton,38,18,6,14,54,33,21,60,2014-15,7
Swansea City,38,16,8,14,46,49,-3,56,2014-15,8
Stoke City,38,15,9,14,48,45,3,54,2014-15,9
Crystal Palace,38,13,9,16,47,51,-4,48,2014-15,10
Everton,38,12,11,15,48,50,-2,47,2014-15,11
West Ham United,38,12,11,15,44,47,-3,47,2014-15,12
West Bromwich Albion,38,11,11,16,38,51,-13,44,2014-15,13
Leicester City,38,11,8,19,46,55,-9,41,2014-15,14
Newcastle United,38,10,9,19,40,63,-23,39,2014-15,15
Sunderland,38,7,17,14,31,53,-22,38,2014-15,16
Aston Villa,38,10,8,20,31,57,-26,38,2014-15,17
Hull City,38,8,11,19,33,51,-18,35,2014-15,18
Burnley,38,7,12,19,28,53,-25,33,2014-15,19
Queens Park Rangers,38,8,6,24,42,73,-31,30,2014-15,20
