Team,GP,W,L,D,GF,GA,Dif,P,Season,Standing
Manchester United,38,25,8,5,74,34,40,83,2002-03,1
Arsenal,38,23,9,6,85,42,43,78,2002-03,2
Newcastle United,38,21,6,11,63,48,15,69,2002-03,3
Chelsea,38,19,10,9,68,38,30,67,2002-03,4
Liverpool,38,18,10,10,61,41,20,64,2002-03,5
Blackburn Rovers,38,16,12,10,52,43,9,60,2002-03,6
Everton,38,17,8,13,48,49,-1,59,2002-03,7
Southampton,38,13,13,12,43,46,-3,52,2002-03,8
Manchester City,38,15,6,17,47,54,-7,51,2002-03,9
Tottenham Hotspur,38,14,8,16,51,62,-11,50,2002-03,10
Middlesbrough,38,13,10,15,48,44,4,49,2002-03,11
Charlton Athletic,38,14,7,17,45,56,-11,49,2002-03,12
Birmingham City,38,13,9,16,41,49,-8,48,2002-03,13
Fulham,38,13,9,16,41,50,-9,48,2002-03,14
Leeds United,38,14,5,19,58,57,1,47,2002-03,15
Aston Villa,38,12,9,17,42,47,-5,45,2002-03,16
Bolton Wanderers,38,10,14,14,41,51,-10,44,2002-03,17
West Ham United,38,10,12,16,42,59,-17,42,2002-03,18
West Bromwich Albion,38,6,8,24,29,65,-36,26,2002-03,19
Sunderland,38,4,7,27,21,65,-44,19,2002-03,20
