Team,GP,W,L,D,GF,GA,Dif,P,Season,Standing
Manchester City,38,32,4,2,106,27,79,100,2017-18,1
Manchester United,38,25,6,7,68,28,40,81,2017-18,2
Tottenham Hotspur,38,23,8,7,74,37,37,77,2017-18,3
Liverpool,38,21,12,5,84,38,46,75,2017-18,4
Chelsea,38,21,7,10,62,38,24,70,2017-18,5
Arsenal,38,19,6,13,74,51,23,63,2017-18,6
Burnley,38,14,12,12,36,39,-3,54,2017-18,7
Everton,38,13,10,15,44,58,-14,49,2017-18,8
Leicester City,38,12,11,15,56,60,-4,47,2017-18,9
Newcastle United,38,12,8,18,39,47,-8,44,2017-18,10
Crystal Palace,38,11,11,16,45,55,-10,44,2017-18,11
Bournemouth,38,11,11,16,45,61,-16,44,2017-18,12
West Ham United,38,10,12,16,48,68,-20,42,2017-18,13
Watford,38,11,8,19,44,64,-20,41,2017-18,14
Brighton & Hove Albion,38,9,13,16,34,54,-20,40,2017-18,15
Huddersfield Town,38,9,10,19,28,58,-30,37,2017-18,16
Southampton,38,7,15,16,37,56,-19,36,2017-18,17
Swansea City,38,8,9,21,28,56,-28,33,2017-18,18
Stoke City,38,7,12,19,35,68,-33,33,2017-18,19
West Bromwich Albion,38,6,13,19,31,56,-25,31,2017-18,20
